,,前の日,次の日,増減,,,,,,,,,,,
1993/9/12,パー,20817.98,21148.11,＋330.1,,,,,,,,,,,
1993/9/19,グー,20391.04,20266.03,?125.0,,,,,,,,,,,
1993/9/26,グー,20307.53,20094.11,?213.4,,,,,,,,,,,
1993/10/3,チョキ,20283.13,20264.43,?18.7,,,,,,,,,,,
1993/10/10,パー,20378.64,20137.31,?241.3,,,,,,,,,,,
1993/10/17,グー,20174.42,20072.21,?102.2,,,,,,,,,,,
1993/10/24,グー,20264.83,20309.33,＋44.5,,,,,,,,,,,
1993/10/31,パー,19702.97,19438.24,?264.7,,,,,,,,,,,
1993/11/7,チョキ,18590.46,18625.16,＋34.7,,,,,,,,,,,
1993/11/14,チョキ,18493.55,18074.61,?418.9,,,,,,,,,,,
1993/11/21,パー,17941.19,17384.84,?556.3,,,,,,,,,,,
1993/11/28,グー,16726.37,16078.71,?647.7,,,,,,,,,,,
1993/12/5,パー,17459.35,16840.38,?619.0,,,,,,,,,,,
1993/12/12,チョキ,17257.43,17327.33,＋69.9,,,,,,,,,,,
1993/12/19,グー,18051.91,17404.24,?647.7,,,,,,,,,,,
1993/12/26,グー,17141.11,16819.88,?321.2,,,,,,,,,,,
1994/1/2,パー,17417.24,17369.74,?47.5,,,,,,,,,,,
1994/1/9,グー,18124.01,18443.44,＋319.4,,,,,,,,,,,
1994/1/16,チョキ,18973.7,18725.37,?248.3,,,,,,,,,,,
1994/1/23,グー,19307.43,18353.24,?954.2,,,,,,,,,,,
1994/1/30,チョキ,18757.88,20229.12,＋1471.2,,,,,,,,,,,
1994/2/6,パー,20301.43,20014.4,?287.0,,,,,,,,,,,
1994/2/13,パー,19990.7,19459.25,?531.5,,,,,,,,,,,
1994/2/20,チョキ,18959.6,19393.94,＋434.3,,,,,,,,,,,
1994/2/27,グー,19803.38,19997.2,＋193.8,,,,,,,,,,,
1994/3/6,グー,19966,19811.88,?154.1,,,,,,,,,,,
1994/3/13,パー,20115.31,20526.15,＋410.8,,,,,,,,,,,
1994/3/20,パー,20469.45,20253.53,?215.9,,,,,,,,,,,
1994/3/27,チョキ,19836.48,19941.79,＋105.3,,,,,,,,,,,
1994/4/3,チョキ,19277.16,19122.22,?154.9,,,,,,,,,,,
1994/4/10,パー,19934.99,19898.08,?36.9,,,,,,,,,,,
1994/4/17,グー,20164.63,20277.36,＋112.7,,,,,,,,,,,
1994/4/24,チョキ,19964.39,19709.14,?255.3,,,,,,,,,,,
1994/5/1,グー,19725.25,19570.21,?155.0,,,,,,,,,,,
1994/5/8,パー,19862.47,19786.96,?75.5,,,,,,,,,,,
1994/5/15,パー,20270.75,20188.44,?82.3,,,,,,,,,,,
1994/5/22,チョキ,20342.17,20568.71,＋226.5,,,,,,,,,,,
1994/5/29,グー,20777.15,20838.97,＋61.8,,,,,,,,,,,
1994/6/5,チョキ,20954.19,20726.65,?227.5,,,,,,,,,,,
1994/6/12,パー,21395.18,21552.81,＋157.6,,,,,,,,,,,
